RAdeg,DEdeg,Vmag
332.04781411,-36.60839245,8.9
318.66847852,41.71635167,9.69
329.44799728,19.87819932,7.47
232.0273195,-27.13641133,9.25
346.0983826,-24.11556175,9.06
217.13258833,73.05510699,8.62
37.77474551,-28.51373609,9.64
211.56221664,7.37405544,11.27
49.32042856,-49.96856799,8.95
49.7911104,-65.72805993,7.31
45.94967484,-14.55526326,9.27
92.92989493,-55.80186566,8.8
91.02893301,-39.83626398,8.17
197.57534591,-70.97227327,11.09
272.60941453,-62.00276787,5.47
171.42666403,-14.53732282,7.16
325.17809989,84.33333718,8.37
219.64305342,48.58342927,9.48
92.63300343,-34.81686102,6.65
341.05280328,-27.10004911,11.0
215.64275643,20.52311647,8.19
137.41448335,63.35103265,9.17
90.840589,31.39014934,7.08
147.21990094,8.30177506,7.51
185.51761053,-8.55766309,8.98
37.07530581,-14.207268,8.73
11.36692411,-51.6259515,11.91
102.92842478,0.55144638,10.56
294.48920331,26.01666058,7.86
150.60838989,69.04073265,8.17
306.20685754,-59.96469137,8.46
179.84296047,-30.06081202,6.83
105.620362,-14.67631866,10.51
54.86699378,-8.01195293,8.19
26.23991784,-28.72636081,6.95
81.47878077,61.7830635,9.16
8.05851728,34.99394306,6.74
268.19233287,-55.38225898,11.95
256.96339529,-25.45855992,8.52
41.17827966,-0.84611922,7.86
30.71872421,64.90149425,6.0
73.00837262,-46.85240898,7.13
147.28348878,47.65187977,9.23
292.09379955,53.97031268,7.96
170.49621036,25.48395941,9.53
346.72649004,-21.45688102,8.98
272.33888844,29.95156418,6.84
23.62371944,34.66096699,9.66
243.37573227,-51.61745612,8.67
91.66176627,-56.10060467,8.45
39.2223352,-35.3199147,7.59
21.10480962,8.43735074,12.26
131.67278557,-8.46860069,8.78
244.64328051,7.26046712,7.78
302.1497927,-30.46959276,9.55
67.69259458,40.14659734,7.82
328.54173949,16.86547511,10.86
326.74642237,-44.85161096,10.1
115.54259877,-58.63093533,6.4
81.54956225,30.24459018,9.65
161.42999052,-10.86637444,7.94
307.80445003,11.26062772,7.08
19.46606199,-32.0080027,9.59
36.60063854,-3.87750587,9.07
295.70677543,23.46331513,8.75
177.21866981,-16.59772566,7.62
246.30568812,-21.93654138,10.4
290.34968742,-5.59775692,9.0
348.25642403,42.06223643,6.91
247.13264488,29.0756707,7.24
175.65915935,18.77345718,9.14
216.94779449,-11.32763883,8.61
236.95913059,-69.00878881,9.12
232.81100924,64.14591333,9.06
244.09978173,8.03602229,7.47
342.23102041,-8.86487484,9.63
98.15469968,-29.58259339,8.97
101.58410297,15.38440356,9.42
250.04938837,-26.45383906,8.58
151.62546282,28.53979672,10.72
201.30744218,-2.22529242,8.35
130.76810298,-48.18434509,8.88
77.02910453,-49.29719021,7.44
207.52625866,-40.835746,9.79
299.20456453,-30.57016459,6.55
339.10433968,46.92750596,10.37
212.99725731,-38.12102917,9.45
279.82834642,63.792144,8.33
88.07386578,-56.46291749,7.62
91.36320378,-35.51368651,5.8
201.07667305,1.39974722,7.24
113.65768725,0.17438142,8.44
255.30646789,-12.21715548,9.95
146.91609097,37.30422967,9.05
187.41148257,-66.59859019,9.25
209.04894823,36.44783924,9.18
304.08242795,21.59876279,6.11
315.46096123,-36.57413517,7.12
309.97776902,-40.97212038,8.85
329.19760769,-28.81758441,7.91
333.25312198,-69.68549858,9.06
239.53218734,-50.67487701,8.56
325.28285672,-47.49346885,9.0
100.13434964,71.74875988,5.88
35.75320539,62.21657652,8.85
106.62798351,-57.77845619,7.71
328.10570848,2.38950195,12.74
142.80564072,-57.0343916,3.16
41.45571832,-62.72416338,7.19
357.23116631,-28.1300148,4.59
253.84518395,-69.27976384,7.25
29.46369151,33.80621904,8.16
204.17433148,69.77662996,8.25
47.66036726,-5.39391676,8.21
34.8399407,14.90888283,9.39
169.42065963,25.46046802,7.38
97.73762043,-47.25757951,8.31
94.17878597,47.0615442,9.18
240.21489649,12.47662751,8.1
245.84560797,-26.3711394,9.6
18.68698554,4.59683805,8.5
356.90013616,34.52160493,7.51
224.36916204,40.16430492,8.88
141.04887728,60.44713079,7.33
345.39700271,-29.78727155,9.05
2.23568502,12.804472,8.48
42.42778058,-69.81177732,8.69
93.48794708,-7.24808216,6.78
150.52415299,21.69115762,8.66
68.44703315,1.81027971,8.94
99.05506291,-36.64773494,8.15
236.71195267,-5.25660828,10.23
282.13094887,-19.68563366,8.7
157.77714233,6.618206,10.18
273.5157341,-62.94451979,8.35
15.37565359,69.35852805,6.67
273.31530787,16.27327829,6.77
68.42858171,28.72957851,10.01
258.55936153,-26.9842547,6.64
286.45847986,59.29199044,7.68
207.07503797,-6.83733465,6.57
44.7277298,53.2270092,10.22
218.39237433,-14.07654616,9.13
121.18519862,47.2898767,8.38
40.87043285,-2.53149459,6.48
4.94636984,74.27656372,8.4
139.42628604,-54.49485748,6.33
181.19714422,-27.67856773,10.26
17.321981,34.80593036,7.54
179.60812194,-50.25335462,7.78
127.47352407,22.44232823,9.89
356.46539624,33.29051524,7.51
106.64986453,-12.39395311,6.48
108.20573412,-7.14937957,7.54
294.37194213,-42.94543359,9.34
255.63484511,35.77995524,8.17
295.14502805,62.66457599,7.36
62.71633997,42.2096513,8.83
270.0994711,-6.61600036,8.43
334.7593693,46.00510343,7.39
151.1794322,54.34546039,8.97
83.9219542,-7.37431526,9.32
144.55577372,23.54702316,7.87
171.80001068,-82.51724548,8.96
288.10149196,36.18220482,6.95
324.27743325,53.37676243,7.82
132.43614765,44.97783789,7.97
308.07394418,-43.11277369,10.34
256.39131136,-24.47911891,9.52
359.6402002,-29.21035167,8.41
175.05874527,21.38613488,8.99
335.70949358,36.65891683,6.45
102.41892448,-31.25916267,8.34
193.28696676,-60.88151729,8.76
91.54807438,-45.81583693,7.24
113.15873033,-16.82482793,8.92
104.46317757,-21.93722324,9.37
261.62574065,-62.51400261,8.69
282.50253752,6.22188784,9.5
93.65357854,12.47715124,8.15
270.14666018,-56.35182044,9.06
187.33524502,17.3220449,7.71
32.56707347,33.36533659,8.05
197.63257055,-10.81460924,7.81
96.41758624,-51.13443692,8.69
276.60270207,-41.06455896,9.1
213.21144912,11.62046571,8.99
312.06796971,44.07661301,8.84
276.06682453,36.14501644,9.45
79.41769273,-13.51970778,5.48
22.52839703,22.3482958,8.78
168.12607775,24.65183958,8.15
134.91255477,-31.37247704,8.75
292.46308691,-37.03792368,9.03
154.75520147,72.38472274,9.11
281.03655816,-19.31788263,6.74
35.97868166,33.50782896,7.89
140.26540971,-45.04190874,7.64
330.73679805,22.08296391,8.78
192.94670254,22.54429535,10.51
99.38950561,9.69924141,10.22
349.15956182,-19.96182601,9.04
94.71158258,69.3200343,4.76
195.70286876,-0.7944007,8.72
53.62439947,-34.83229352,7.04
304.96696689,-15.01775167,8.26
333.19270936,40.79387971,8.11
243.58652601,-3.69397562,2.73
258.441625,-24.05220267,9.01
80.41626724,-2.05130153,8.49
257.87249137,48.77964016,8.53
228.89143803,-16.93466432,9.53
254.77320262,-48.87512564,6.64
339.62223673,-14.05912862,8.69
29.45203048,12.94315638,9.1
35.25551482,-33.88693592,9.24
67.94934519,14.15496082,10.33
339.85795135,55.0487714,8.34
271.52173126,-8.05744939,9.75
287.61448629,48.44440571,7.2
47.01596021,52.21356389,6.33
58.02069193,18.13488922,9.35
139.23338681,-40.11664176,7.11
322.84318561,22.7419147,7.58
202.13679351,-23.09816992,11.8
275.51917569,75.86189687,8.16
173.63172203,-42.65006074,9.05
134.65738199,20.5471686,9.22
261.12163396,-76.18513286,9.4
286.73164713,-48.29911462,5.95
109.153487,-23.31560155,4.83
227.08142101,50.0550062,6.33
352.10427624,-38.64563303,7.36
193.5664912,-27.95942317,7.34
316.93216234,-5.56643033,7.59
159.44012895,-29.09765021,8.08
306.76240368,-59.23403244,8.52
245.48757114,-51.51184754,10.15
45.17398347,-35.93779684,9.19
190.94904866,-71.03783105,7.93
287.54108144,2.35740345,7.86
203.81615512,-31.40858339,8.89
358.69304607,-21.77482015,10.8
5.90578351,22.80744789,9.21
226.99382523,-14.59246256,7.98
122.79036947,84.40731522,7.59
297.29844746,19.79483667,7.91
291.53298687,-32.60632236,9.92
246.03466158,48.35400404,10.27
68.9129437,6.17843351,10.8
90.85867561,3.86261794,7.1
30.0321764,-54.42292519,8.82
342.6950962,-31.21610981,10.21
239.83451857,5.36576228,10.63
326.4990805,36.43157193,8.89
241.08179185,6.01135927,7.14
20.80612755,49.5384565,9.48
62.29125233,19.60929366,5.51
92.48995477,-76.25562762,9.56
137.18549628,-16.2771575,6.48
0.14739023,-29.26338247,10.96
83.9489722,-19.94678222,7.95
187.51380599,-61.45597841,8.37
156.0950688,-61.55188612,7.61
167.64031521,-9.41682395,8.11
249.85863648,29.21814841,7.26
54.06944654,17.8120806,8.6
136.67906251,20.51031551,7.68
226.64084456,2.61715895,8.82
306.94801033,26.14670754,7.49
257.64109648,-50.65747469,9.8
199.79891773,-56.27906864,8.63
214.78849142,59.30199899,8.72
122.27409154,-50.51992787,8.77
79.60127028,47.04819108,7.72
120.85222497,-30.73217996,8.3
231.07748382,38.18795238,7.57
64.63187292,12.56670232,8.36
133.74053255,-15.77942562,7.1
231.87254672,-43.08741231,8.45
294.7931528,68.65250336,6.78
187.42886106,-3.33160201,8.99
15.68711439,-40.01696096,9.13
201.20004193,-6.97924253,11.62
310.2574426,34.29383374,8.35
62.68532621,-4.87450715,7.36
283.86510408,60.94623317,7.54
191.67245767,-25.81612075,10.57
83.83205556,43.23936969,7.31
109.30411716,75.19533721,8.44
265.9826855,69.0741099,7.82
100.40737405,35.93199076,6.48
77.72765223,79.48144405,8.57
114.31339006,53.84085963,7.35
14.18385769,-38.9325339,8.81
136.18142129,41.38378133,9.19
87.51115293,9.87122224,5.79
32.21096151,30.76721937,9.38
226.22527408,-18.59061013,9.5
88.69623563,13.84629663,8.29
291.78079313,19.42471084,10.38
131.30502962,-41.87896817,7.97
342.76976348,44.08490557,9.57
65.6815222,1.49745564,9.5
137.29024283,-20.92726407,7.42
112.25691754,31.9934153,7.73
195.59273744,37.34539777,8.1
204.46045458,25.42785217,9.5
328.43983244,40.4194555,9.07
5.18178259,3.44948223,8.08
41.03989291,-60.0560519,9.84
236.28128319,28.46983604,8.06
276.81543004,39.34024585,9.54
359.25602451,39.36978174,9.36
13.13304691,-20.99605992,7.84
143.21468574,-67.64267706,8.32
205.55409628,8.38860602,6.16
309.46640563,-60.63432569,7.5
342.5004181,24.60168486,3.51
348.8022425,-41.95529473,8.71
235.2569825,5.5144455,8.28
221.27867372,18.62776542,9.62
139.03134693,50.67983684,8.47
14.83529281,-0.67452887,7.65
283.72274465,51.30807291,7.96
29.95343261,4.59189832,8.31
34.50333918,-71.46747297,8.18
201.93660524,3.87407283,10.27
97.54700158,-10.08150589,5.92
210.87871854,-52.05938529,7.38
125.17084087,25.33629615,7.27
38.8757545,53.68789708,9.04
114.48986714,-32.13117905,6.7
21.27198122,-64.3694363,5.92
88.11201429,6.20947432,6.9
139.67650557,-51.5606599,5.83
138.72301625,-8.75081956,10.76
175.94888047,18.52240718,9.42
40.34002121,4.42793018,6.99
219.50269244,-54.51118802,8.01
50.32322017,-59.63988267,8.3
56.73155153,18.28399831,8.94
210.74043953,22.04252113,8.79
28.37477967,12.68248358,7.07
66.55737771,-62.75370447,8.54
35.90489611,52.68185385,7.93
346.69015714,-27.74172451,10.65
293.87413266,-7.46018539,6.32
302.28387813,16.90708917,6.91
192.20698994,14.03287979,8.6
144.99030115,9.51090611,8.89
303.19711045,-24.80440944,8.43
20.88347851,22.95703383,8.94
100.70351624,-50.45181158,7.02
44.19476437,-13.23874824,8.21
136.12416537,12.21885571,8.68
243.46810171,16.43428202,7.74
129.30412951,17.25413046,8.94
235.24798787,-71.74476832,7.59
351.61428684,8.64438584,7.1
343.79560112,-4.98787812,5.72
80.34001004,14.94341756,9.6
162.16236042,-61.14375263,8.29
51.04160259,35.76221637,9.16
310.55261149,50.34002067,5.41
82.1985998,-24.26100926,7.32
32.97139849,56.57978894,10.36
114.01856807,66.47029517,7.23
278.33425731,-37.32951577,8.38
17.80330589,-1.27429223,8.35
318.19687474,60.09801033,6.91
208.58913341,-17.1801055,6.59
195.068019,20.72430257,9.9
211.34119488,76.98159874,7.82
138.2265853,12.24893302,8.83
210.69504282,-29.39936964,9.24
18.6658567,-35.00386167,10.62
18.03865098,-54.09499403,8.75
37.54818832,43.17884825,8.2
253.05550725,-26.91960322,8.3
72.16022992,-71.01978295,9.81
169.00066616,-47.30569717,7.28
64.46901746,54.47001061,8.48
202.4153732,74.88069371,7.54
203.14059122,42.73109502,8.11
113.79794321,52.81323193,11.06
91.23431096,-5.34303352,7.98
66.16076507,-74.5091011,9.47
78.62187094,-7.28282091,8.52
159.1040468,-55.36698559,8.62
159.76224445,-58.81560689,8.33
10.81866644,-45.17866872,10.09
193.84382834,69.88747409,8.9
225.63900165,-12.41388051,10.1
151.43874244,-30.89162665,6.62
7.22601145,57.20974899,7.3
220.37906873,-49.31033422,10.36
332.34582853,54.17774349,9.04
225.46639726,15.78136846,9.36
161.52436746,-57.54754096,9.07
87.86479369,-17.90178921,8.18
216.93884214,23.84065941,10.93
318.45179313,-43.12979753,7.14
210.21658097,-49.52606852,8.26
76.73071555,-5.16555869,7.3
64.6984699,-34.12129199,7.86
297.19621082,-49.5248831,7.78
290.50641463,70.61368334,8.24
18.87832014,81.47973601,9.93
129.46736838,-26.25497008,5.24
284.35667285,-13.10133496,8.07
213.74674581,1.89657795,9.22
159.66015508,49.20816927,8.16
91.02943425,-20.62057037,8.69
215.03613336,30.42914436,6.45
89.63833291,38.89340429,7.23
296.98050736,41.64851167,8.38
187.48412291,-36.49849957,12.52
205.17019218,19.20031593,7.65
251.69640732,-13.33876272,8.35
274.96696427,29.66638344,6.01
150.31327203,-31.68717567,9.34
35.70639326,65.8040516,9.61
101.51320872,-1.68534028,8.25
320.53253046,-10.51328569,10.21
48.28323122,-34.37563691,8.84
348.26572982,-24.1057227,7.97
342.87520543,6.61159886,8.78
134.16429955,33.25783809,7.32
200.90098888,33.37371745,9.26
218.71364092,-38.60409736,8.76
127.05105929,7.14718734,7.68
149.537677,-23.84652304,9.21
125.32832404,-14.97585176,6.81
184.60009501,-5.03124215,8.65
229.96838669,-75.328758,7.72
328.08054635,39.80171233,8.24
294.428,80.0071407,8.75
257.18326997,-64.84651255,8.02
120.97064632,-31.27303573,9.47
354.32365416,-20.9319204,10.88
261.43987888,2.11430212,7.54
203.9980299,-0.57761663,8.33
236.41658932,-55.97514246,8.21
182.39353671,-70.85064544,8.88
212.5658137,-0.29920394,9.15
330.20922938,-28.45373726,5.43
64.66600467,53.51537872,7.61
115.87345942,-54.24132855,6.88
205.07018677,-60.2659881,9.14
202.14961299,33.66727624,8.14
,,10.83
299.92739876,33.99110945,11.44
96.8041052,-12.83836444,8.36
200.4859725,22.31091775,8.27
54.38655117,28.44181844,9.16
1.73459748,-43.98527,7.62
283.62126995,-45.4862587,6.65
342.36474436,-48.42957066,10.05
193.1428842,-40.94097194,8.51
226.60168286,80.0197346,8.5
99.41672698,-38.62833004,7.9
225.07166157,-78.84605213,9.88
1.33394073,-5.70783255,4.61
29.65014494,16.53789896,8.96
213.22964186,-40.8334665,6.75
136.05471676,-35.04429812,8.34
150.28179666,55.09603534,9.04
309.80434491,10.97833852,8.35
92.60748943,31.42292034,9.47
159.40931531,-9.71830947,8.7
145.52281648,34.26523001,10.44
266.63250808,-7.98529815,7.35
343.14126645,35.33760513,7.13
102.58764065,-6.1927927,7.6
198.11833404,79.65233601,7.52
34.64451014,-88.14567966,8.25
228.24186271,14.80393151,9.04
176.98495996,27.34058324,7.48
338.20308336,10.40542134,9.34
32.89976643,-41.86956094,9.33
193.70105523,30.99868293,10.13
10.24671196,21.02047943,7.05
238.96079326,-35.67603478,7.75
246.17243607,-17.5607587,8.6
230.9669418,-44.95540582,8.4
357.5530965,-34.45170451,8.91
312.65422764,18.05125622,6.63
28.10908221,-38.74525743,8.02
315.7731291,-19.32058937,8.55
241.00909183,-47.47608227,9.34
58.2010475,26.36626957,10.44
132.44175177,13.95424877,9.32
292.41943501,26.01333819,10.84
260.58782043,-52.88238967,9.26
274.40270053,7.1524081,8.32
21.90651305,-48.5030207,8.42
49.2294106,-31.35211781,7.15
260.21095438,-45.42073725,7.26
141.02214092,18.18523093,8.89
349.38047722,55.08921385,8.37
225.01515737,44.58634245,6.91
120.85082577,21.85030261,10.24
73.24665553,11.26396236,10.0
3.81027616,-30.93505699,9.4
359.60389559,-50.90898033,9.09
127.36684317,34.12851815,8.89
286.4215809,-15.66039343,5.93
336.25203229,-30.72072429,9.62
50.38927921,-47.77662913,6.4
192.01693147,3.45534062,7.96
320.41555688,-4.48662365,7.76
97.78893111,9.93982337,7.85
151.94026882,-7.63073464,6.63
218.08997464,31.63515406,9.89
296.95878368,-0.06367773,8.1
99.46182951,-70.93333845,8.71
131.9001304,23.09006491,9.4
282.99182485,-83.31630912,7.17
89.58501134,-10.87474415,8.07
11.25627971,-7.89488136,10.91
208.64824239,-55.07179716,7.18
95.07113874,-10.88210816,7.22
175.4788658,-44.10349027,7.89
52.95433039,49.40109538,6.41
313.95752483,47.41766542,5.68
167.92505031,26.83197097,7.98
6.0262164,50.89330623,8.85
84.45094052,2.74639068,9.17
198.68496648,-63.5810553,6.87
321.05586071,-19.7934433,9.12
107.46745475,-16.23472715,6.62
52.39584209,-23.47581001,6.88
347.47955881,11.74526612,8.85
36.84609143,53.50007525,8.62
1.74821471,65.53871712,10.41
233.64219911,-65.10307699,8.59
300.58867993,19.72380903,8.5
51.21808829,-50.95178313,10.69
77.28544442,-14.73221111,8.1
94.83553267,-27.10148636,11.21
352.6696332,5.24645923,8.33
141.66850132,43.01269647,8.94
226.24292616,24.48502707,10.48
209.73272242,-33.13689405,9.65
162.67339504,-25.52258882,8.64
286.13755351,45.92162799,7.16
96.67773299,-14.60340061,6.32
45.02380148,39.19030349,9.55
126.99760675,-35.11378822,5.75
173.09647751,-36.32332371,8.1
217.87565837,-26.59752018,8.88
255.05563671,49.47174104,8.34
202.10922186,-60.38625891,8.81
220.23784359,9.35481622,8.71
164.33424913,-69.03806214,6.48
281.66428606,-39.73086024,6.88
170.77140916,-28.89696884,7.52
42.99099642,11.30668828,8.38
201.06239637,-25.12889331,7.54
33.76084727,55.79322857,8.4
178.09242746,58.37933188,9.2
328.72657325,32.33874311,7.09
353.2424506,-37.81835895,4.38
294.85556676,16.57113626,6.37
243.35811292,11.4180357,8.26
70.33223225,28.61506693,5.73
251.8448075,69.09878088,7.49
220.70461691,-45.59754051,8.13
32.38759247,22.00973476,8.84
107.74896153,-67.96136992,7.17
348.78116771,74.89065528,9.01
293.37280317,78.05911735,8.34
28.67144612,78.19656306,6.67
185.93954832,-36.8749043,9.31
128.16167783,-68.86446799,8.32
114.12889995,16.07596514,8.28
316.64406359,-49.96329984,9.09
345.42578112,-51.46815737,8.17
352.72845792,7.99693811,8.1
327.73512597,-20.18881758,7.75
